2023-02-01 23:05:34.170 [main] INFO  pk.Game -  
2023-02-01 23:05:34.170 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.170 [main] INFO  pk.Game - Player 2 card: MONKEYBUSINESS
2023-02-01 23:05:34.170 [main] INFO  pk.Game - Initial roll: [GOLD, SABER, DIAMOND, MONKEY, SABER, PARROT, SABER, PARROT]
2023-02-01 23:05:34.170 [main] INFO  pk.Game - After reroll: [MONKEY, DIAMOND, GOLD, SKULL, GOLD, SKULL, DIAMOND, GOLD]
2023-02-01 23:05:34.170 [main] INFO  pk.Game - Player 2 round score of round 4: 600
2023-02-01 23:05:34.171 [main] INFO  pk.Game - Player 2 total score: 1300
2023-02-01 23:05:34.171 [main] INFO  pk.Game - ------------------------------ round 5 ------------------------------
2023-02-01 23:05:34.171 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.171 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.171 [main] INFO  pk.Game - Initial roll: [PARROT, GOLD, GOLD, PARROT, MONKEY, SKULL, PARROT, PARROT]
2023-02-01 23:05:34.171 [main] INFO  pk.Game - The number of skulls is: 1
2023-02-01 23:05:34.171 [main] INFO  pk.Game - player decide to Hold: [PARROT, GOLD, GOLD, PARROT, SKULL, PARROT, PARROT]
2023-02-01 23:05:34.171 [main] INFO  pk.Game - player decide to Reroll: [MONKEY]
2023-02-01 23:05:34.171 [main] INFO  pk.Game - After reroll: [PARROT, GOLD, GOLD, PARROT, MONKEY, SKULL, PARROT, PARROT]
2023-02-01 23:05:34.171 [main] INFO  pk.Game - Player 1 round score of round 5: 400
2023-02-01 23:05:34.171 [main] INFO  pk.Game - Player 1 total score: 1500
2023-02-01 23:05:34.171 [main] INFO  pk.Game -  
2023-02-01 23:05:34.172 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.172 [main] INFO  pk.Game - Player 2 card: NOP
2023-02-01 23:05:34.172 [main] INFO  pk.Game - Initial roll: [MONKEY, GOLD, SABER, DIAMOND, DIAMOND, GOLD, MONKEY, SKULL]
2023-02-01 23:05:34.172 [main] INFO  pk.Game - After reroll: [DIAMOND, SABER, SKULL, MONKEY, MONKEY, MONKEY, MONKEY, SKULL]
2023-02-01 23:05:34.172 [main] INFO  pk.Game - Player 2 round score of round 5: 300
2023-02-01 23:05:34.172 [main] INFO  pk.Game - Player 2 total score: 1600
2023-02-01 23:05:34.172 [main] INFO  pk.Game - ------------------------------ round 6 ------------------------------
2023-02-01 23:05:34.172 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.172 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.172 [main] INFO  pk.Game - Initial roll: [SKULL, SABER, SABER, PARROT, MONKEY, SABER, SABER, PARROT]
2023-02-01 23:05:34.172 [main] INFO  pk.Game - The number of skulls is: 1
2023-02-01 23:05:34.173 [main] INFO  pk.Game - player decide to Hold: [SKULL, SABER, SABER, PARROT, SABER, SABER, PARROT]
2023-02-01 23:05:34.173 [main] INFO  pk.Game - player decide to Reroll: [MONKEY]
2023-02-01 23:05:34.173 [main] INFO  pk.Game - After reroll: [SKULL, SABER, SABER, PARROT, MONKEY, SABER, SABER, PARROT]
2023-02-01 23:05:34.173 [main] INFO  pk.Game - Player 1 round score of round 6: 200
2023-02-01 23:05:34.173 [main] INFO  pk.Game - Player 1 total score: 1700
2023-02-01 23:05:34.173 [main] INFO  pk.Game -  
2023-02-01 23:05:34.173 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.173 [main] INFO  pk.Game - Player 2 card: NOP
2023-02-01 23:05:34.174 [main] INFO  pk.Game - Initial roll: [SABER, MONKEY, SABER, GOLD, SKULL, GOLD, SABER, DIAMOND]
2023-02-01 23:05:34.174 [main] INFO  pk.Game - After reroll: [MONKEY, GOLD, SABER, SABER, SKULL, MONKEY, SKULL, PARROT]
2023-02-01 23:05:34.174 [main] INFO  pk.Game - Player 2 round score of round 6: 100
2023-02-01 23:05:34.174 [main] INFO  pk.Game - Player 2 total score: 1700
2023-02-01 23:05:34.174 [main] INFO  pk.Game - ------------------------------ round 7 ------------------------------
